1.000000e+00	3.891040e+02	-1.902872e+00	-1.925042e+00	-1.959815e+00	-2.001349e+00	-2.045738e+00	-2.088907e+00	-2.125677e+00	-2.150148e+00	-2.156731e+00	-2.141225e+00	-2.101760e+00	-2.039626e+00	-1.959912e+00	-1.871633e+00	-1.786972e+00	-1.719447e+00	-1.681049e+00	-1.678746e+00	-1.711226e+00	-1.767185e+00	-1.826558e+00	-1.865340e+00	-1.863055e+00	-1.810278e+00	-1.712948e+00	-1.591124e+00	-1.472231e+00	-1.381377e+00	-1.332653e+00	-1.324830e+00	-1.342764e+00	-1.363428e+00	-1.363861e+00	-1.328167e+00	-1.251605e+00	-1.141183e+00	-1.013252e+00	-8.891493e-01	-7.900379e-01	-7.319348e-01	-7.217381e-01	-7.548566e-01	-8.147875e-01	-8.746794e-01	-9.005825e-01	-8.558137e-01	-7.057127e-01	-4.220667e-01	1.338502e-02	6.067398e-01	
2.000000e+00	2.628523e+02	-1.977212e+00	-1.994337e+00	-2.020594e+00	-2.051142e+00	-2.082782e+00	-2.112177e+00	-2.135074e+00	-2.146597e+00	-2.142104e+00	-2.118070e+00	-2.072858e+00	-2.007399e+00	-1.925714e+00	-1.835018e+00	-1.745137e+00	-1.667087e+00	-1.610862e+00	-1.582696e+00	-1.582335e+00	-1.601400e+00	-1.624135e+00	-1.631293e+00	-1.606422e+00	-1.542296e+00	-1.444654e+00	-1.331183e+00	-1.225578e+00	-1.148722e+00	-1.110895e+00	-1.108790e+00	-1.128042e+00	-1.148902e+00	-1.152561e+00	-1.126505e+00	-1.067685e+00	-9.829259e-01	-8.867330e-01	-7.971185e-01	-7.305055e-01	-6.974611e-01	-7.008140e-01	-7.355288e-01	-7.886155e-01	-8.392814e-01	-8.606340e-01	-8.230517e-01	-6.982967e-01	-4.634127e-01	-1.036435e-01	3.868880e-01	
3.000000e+00	1.439383e+02	-2.074153e+00	-2.086964e+00	-2.105587e+00	-2.125804e+00	-2.144839e+00	-2.159858e+00	-2.167307e+00	-2.163150e+00	-2.143524e+00	-2.105415e+00	-2.047264e+00	-1.969543e+00	-1.875337e+00	-1.770813e+00	-1.665337e+00	-1.570743e+00	-1.498806e+00	-1.456314e+00	-1.439902e+00	-1.435512e+00	-1.424046e+00	-1.388783e+00	-1.320957e+00	-1.223528e+00	-1.112939e+00	-1.016219e+00	-9.603469e-01	-9.563634e-01	-9.912667e-01	-1.037937e+00	-1.072016e+00	-1.079494e+00	-1.055551e+00	-1.002522e+00	-9.293366e-01	-8.504426e-01	-7.820502e-01	-7.356421e-01	-7.125417e-01	-7.055553e-01	-7.073224e-01	-7.156869e-01	-7.301988e-01	-7.453780e-01	-7.481357e-01	-7.202922e-01	-6.431935e-01	-5.016070e-01	-2.837474e-01	3.116823e-02	
4.000000e+00	1.112107e+02	-2.130260e+00	-2.140055e+00	-2.153523e+00	-2.166997e+00	-2.178088e+00	-2.184359e+00	-2.182753e+00	-2.169780e+00	-2.142088e+00	-2.097050e+00	-2.033282e+00	-1.951161e+00	-1.853350e+00	-1.745257e+00	-1.635225e+00	-1.534017e+00	-1.452687e+00	-1.398198e+00	-1.368602e+00	-1.352285e+00	-1.332859e+00	-1.295803e+00	-1.233475e+00	-1.148437e+00	-1.054857e+00	-9.756944e-01	-9.332223e-01	-9.354799e-01	-9.699595e-01	-1.012627e+00	-1.042388e+00	-1.047361e+00	-1.023695e+00	-9.737487e-01	-9.056282e-01	-8.322617e-01	-7.681284e-01	-7.235608e-01	-6.999515e-01	-6.911544e-01	-6.907795e-01	-6.969048e-01	-7.090443e-01	-7.222906e-01	-7.250883e-01	-7.014509e-01	-6.349924e-01	-5.123165e-01	-3.230180e-01	-4.880929e-02	
5.000000e+00	8.616297e+01	-2.141645e+00	-2.152164e+00	-2.166905e+00	-2.182036e+00	-2.195043e+00	-2.203398e+00	-2.203931e+00	-2.192954e+00	-2.166743e+00	-2.122061e+00	-2.056607e+00	-1.969517e+00	-1.862027e+00	-1.738490e+00	-1.607829e+00	-1.484760e+00	-1.387983e+00	-1.331255e+00	-1.310481e+00	-1.302281e+00	-1.279887e+00	-1.229358e+00	-1.153568e+00	-1.067607e+00	-9.914926e-01	-9.426340e-01	-9.296751e-01	-9.486539e-01	-9.837643e-01	-1.015273e+00	-1.028878e+00	-1.018615e+00	-9.847198e-01	-9.316601e-01	-8.674854e-01	-8.028438e-01	-7.483674e-01	-7.106837e-01	-6.893723e-01	-6.784714e-01	-6.724490e-01	-6.701638e-01	-6.724496e-01	-6.770621e-01	-6.762874e-01	-6.582227e-01	-6.098458e-01	-5.196199e-01	-3.766486e-01	-1.591853e-01	
6.000000e+00	6.687093e+01	-2.152221e+00	-2.163334e+00	-2.179118e+00	-2.195608e+00	-2.210194e+00	-2.220288e+00	-2.222660e+00	-2.213482e+00	-2.188755e+00	-2.144743e+00	-2.078367e+00	-1.987637e+00	-1.872374e+00	-1.735609e+00	-1.586186e+00	-1.442070e+00	-1.329805e+00	-1.270907e+00	-1.258691e+00	-1.257278e+00	-1.231362e+00	-1.170071e+00	-1.087307e+00	-1.008328e+00	-9.538311e-01	-9.313236e-01	-9.372385e-01	-9.615266e-01	-9.898670e-01	-1.007999e+00	-1.007286e+00	-9.859147e-01	-9.464928e-01	-8.940267e-01	-8.351983e-01	-7.777200e-01	-7.289065e-01	-6.933486e-01	-6.706621e-01	-6.560850e-01	-6.449077e-01	-6.360118e-01	-6.304552e-01	-6.275662e-01	-6.226330e-01	-6.072630e-01	-5.713339e-01	-5.047748e-01	-3.963118e-01	-2.226133e-01	
7.000000e+00	5.197610e+01	-2.162047e+00	-2.173643e+00	-2.190276e+00	-2.207870e+00	-2.223742e+00	-2.235272e+00	-2.239201e+00	-2.231617e+00	-2.208310e+00	-2.165147e+00	-2.098388e+00	-2.005040e+00	-1.883561e+00	-1.735502e+00	-1.569080e+00	-1.404770e+00	-1.277053e+00	-1.216261e+00	-1.212674e+00	-1.217220e+00	-1.187821e+00	-1.118541e+00	-1.034094e+00	-9.668953e-01	-9.338932e-01	-9.314772e-01	-9.474742e-01	-9.701023e-01	-9.884448e-01	-9.934209e-01	-9.808933e-01	-9.519403e-01	-9.103321e-01	-8.604903e-01	-8.069057e-01	-7.542530e-01	-7.073807e-01	-6.702502e-01	-6.436772e-01	-6.245434e-01	-6.087719e-01	-5.947269e-01	-5.829949e-01	-5.737488e-01	-5.646345e-01	-5.502463e-01	-5.229086e-01	-4.736666e-01	-3.909338e-01	-2.508722e-01	
8.000000e+00	2.360339e+01	-2.157459e+00	-2.172520e+00	-2.195001e+00	-2.220055e+00	-2.244547e+00	-2.265593e+00	-2.279657e+00	-2.282347e+00	-2.268591e+00	-2.232847e+00	-2.169217e+00	-2.071551e+00	-1.933987e+00	-1.753133e+00	-1.534582e+00	-1.306786e+00	-1.133359e+00	-1.077935e+00	-1.113197e+00	-1.137360e+00	-1.091180e+00	-9.949266e-01	-9.119348e-01	-8.879715e-01	-9.138757e-01	-9.518754e-01	-9.763110e-01	-9.803738e-01	-9.657727e-01	-9.366026e-01	-8.987090e-01	-8.585015e-01	-8.199646e-01	-7.825695e-01	-7.421251e-01	-6.946937e-01	-6.413279e-01	-5.892289e-01	-5.467168e-01	-5.163850e-01	-4.938728e-01	-4.725033e-01	-4.483655e-01	-4.224362e-01	-3.990857e-01	-3.821915e-01	-3.715136e-01	-3.609699e-01	-3.374665e-01	-2.754862e-01	
9.000000e+00	1.106401e+01	-2.157621e+00	-2.174953e+00	-2.201148e+00	-2.230801e+00	-2.260478e+00	-2.287148e+00	-2.307177e+00	-2.316019e+00	-2.308291e+00	-2.277873e+00	-2.217841e+00	-2.120264e+00	-1.976248e+00	-1.777512e+00	-1.523465e+00	-1.242328e+00	-1.024838e+00	-9.801053e-01	-1.051339e+00	-1.083124e+00	-1.021505e+00	-9.191043e-01	-8.623147e-01	-8.817057e-01	-9.348377e-01	-9.733720e-01	-9.788460e-01	-9.546101e-01	-9.115929e-01	-8.615484e-01	-8.149615e-01	-7.781626e-01	-7.497439e-01	-7.204547e-01	-6.785446e-01	-6.177495e-01	-5.428747e-01	-4.685009e-01	-4.094813e-01	-3.698179e-01	-3.411090e-01	-3.116644e-01	-2.764119e-01	-2.401902e-01	-2.136935e-01	-2.054160e-01	-2.151637e-01	-2.330729e-01	-2.423644e-01	-2.191704e-01	
1.000000e+01	5.344371e+00	-2.160302e+00	-2.179091e+00	-2.207605e+00	-2.240063e+00	-2.272846e+00	-2.302860e+00	-2.326471e+00	-2.339141e+00	-2.335442e+00	-2.309079e+00	-2.252699e+00	-2.157438e+00	-2.012454e+00	-1.805548e+00	-1.529215e+00	-1.205631e+00	-9.461410e-01	-9.150483e-01	-1.017778e+00	-1.052908e+00	-9.827704e-01	-8.863797e-01	-8.566155e-01	-8.998323e-01	-9.565930e-01	-9.833170e-01	-9.704489e-01	-9.275857e-01	-8.705270e-01	-8.150999e-01	-7.732211e-01	-7.477806e-01	-7.296913e-01	-7.023774e-01	-6.518830e-01	-5.758254e-01	-4.865451e-01	-4.056100e-01	-3.492561e-01	-3.155387e-01	-2.890867e-01	-2.583658e-01	-2.260717e-01	-2.058670e-01	-2.105941e-01	-2.412153e-01	-2.856253e-01	-3.266382e-01	-3.488521e-01	-3.374116e-01	
