Longitude,Latitude,weight,depth_km,X,Y
139.6215,-20.5874,0.56,45,789355.300336674,679111.812006643
138.7867,-19.035,0.8,39.7,712220.622299421,854926.571359957
139.3427,-18.8585,0.8,41.6,771643.475239822,871103.39740376
140.3837,-18.7259,0.8,39.1,881866.241352187,878874.025085965
138.8232,-19.5585,0.8,40.5,712912.698744811,797041.941261338
139.3762,-19.4985,0.8,42.2,771016.428276177,800383.461929571
139.8825,-19.3301,0.24,39.4,825035.957397989,815710.441571958
138.7794,-19.959,0.8,37.1,705960.383947968,753206.674176311
139.3505,-19.9014,0.8,42.8,765736.666334499,756199.696722155
139.944,-19.8278,0.8,47.8,827997.489366767,760532.54832782
138.8323,-20.5162,0.8,41.5,708129.240134438,691637.197267251
139.8113,-20.3385,0.08,38.8,810689.685175163,705250.368730342
140.3468,-20.2064,0.08,34.6,867152.454262511,716192.133317322
138.7876,-21.0857,0.4,40,700118.649452042,629328.126965845
139.3954,-20.9573,0.8,46.8,763572.263120659,639886.21257364
139.8169,-20.7962,0.4,40,808138.876033726,654938.463598873
140.4047,-20.6982,0.4,49,869540.826907226,661774.641042078
139.2527,-21.356,0.56,43.1,746326.682128959,596982.970789686
139.8809,-21.3088,0.24,54.4,811214.272302149,598268.587091858
140.3605,-21.1958,0.8,39.6,861336.535680082,607472.969270786
140.8525,-21.1336,0.8,40.8,912424.38473409,610823.280320171
140.8949,-18.6462,0.56,41.8,936173.986480868,883961.820963666
141.3564,-18.5367,0.56,43.1,985558.717902687,892503.044724904
141.9,-18.4669,0.56,37.3,1043310.92175331,895808.205827879
140.8842,-19.1513,0.24,38.7,931109.529846086,828398.682683053
141.3206,-19.0656,0.08,34.3,977465.524467506,834520.037387408
140.8692,-19.627,0.56,39.4,925839.559158832,776162.837785136
141.9646,-19.3572,0.8,33.9,1042316.8048137,797258.664762318
142.4773,-19.4449,0.8,34.2,1095019.34169134,783256.306808941
140.859,-20.1082,0.24,40,921041.324341427,723338.676660417
141.4108,-20.0754,0.08,40,978576.360630177,722771.815245152
141.9433,-20.0136,0.64,34.1,1034373.68070342,725295.245900944
142.4848,-19.9004,0.4,45,1091616.45836637,733146.79570372
141.4167,-20.5795,0.08,40,975033.583058297,667376.9965188
141.9607,-20.4782,0.56,38,1032129.00526188,674149.192391483
142.4846,-20.4056,0.8,35.9,1086958.72610261,677697.715135306
141.95,-20.9343,0.08,41,1027053.38780688,624209.714232937
142.4972,-20.9077,0.56,36.4,1083652.27117335,622530.482789822
141.6179,-20.5619,0.64,40.6,995974.273637568,667730.640434703
141.7451,-20.5369,0.24,42,1009333.28332879,669459.14218368
141.8707,-20.549,0.32,38,1022211.01984825,667116.251313567
140.9372,-19.9079,0.4,38.4,930725.925854032,744775.164342163
141.0151,-19.8955,0.08,41,938922.562413237,745558.661770035
141.1039,-19.8382,0.08,40,948612.032762626,751190.166809613
141.18,-19.7921,0.08,36.5,956898.308854043,755680.79994683
141.2428,-19.7364,0.08,37.6,963883.798342765,761324.127206046
139.955338,-21.674221,0.8,50.3,816326.104738405,557711.721664887
140.236404,-21.251732,0.8,39.6,848167.358189032,602181.67536634
143.165527,-21.649466,0.24,38,1145234.33449045,535368.840898316
143.8113,-22.9174,0.24,37.8,1198219.73367539,390756.208636079
143.0632,-22.2725,0.08,42.5,1128751.02937666,468146.878369074
142.328,-21.638,0.08,41.9,1059634.98587546,543971.022272484
141.9106,-22.2371,0.08,40.1,1011718.31611085,481834.856389198
141.0467,-22.7133,0.01,50,919928.773023183,436367.137558581
139.0811,-22.9126,0.8,42.6,719063.319469752,427368.285699213
139.5948,-24.797,0.01,43,758695.099093284,218208.377261778
140.062164,-22.291384,0.4,44.2,822928.417316242,489384.212160308
140.603592,-21.909916,0.8,48,880974.848094716,527502.41342552
142.452499,-22.254627,0.01,47.9,1066753.65234208,475436.058744784
142.785614,-21.931387,0.01,39.4,1103710.25065737,507921.077228399
139.723953,-22.568661,0.01,56,786581.674994171,461181.560632179
140.464813,-22.882717,0.01,46.9,859600.438887883,421948.497130878
143.225159,-22.579649,0.01,42,1142224.91781791,433109.210997842
143.811142,-22.917536,0.01,38,1198202.35248687,390742.865000488
