# lon lat weight depth
139.955338 -21.674221 0.80 50.300000
140.236404 -21.251732 0.80 39.600000
143.165527 -21.649466 0.24 38.000000
143.811300 -22.917400 0.24 37.800000
143.063200 -22.272500 0.08 42.500000
142.328000 -21.638000 0.08 41.900000
141.910600 -22.237100 0.08 40.100000
141.046700 -22.713300 0.01 50.000000
139.081100 -22.912600 0.80 42.600000
139.594800 -24.797000 0.01 43.000000
140.062164 -22.291384 0.40 44.200000
140.603592 -21.909916 0.80 48.000000
142.452499 -22.254627 0.01 47.900000
142.785614 -21.931387 0.01 39.400000
139.723953 -22.568661 0.01 56.000000
140.464813 -22.882717 0.01 46.900000
143.225159 -22.579649 0.01 42.000000
143.811142 -22.917536 0.01 38.000000
139.928009 -23.192139 0.01 42.000000
144.243637 -23.505619 0.01 36.000000
142.606339 -23.751200 0.01 46.000000
143.828262 -23.752005 0.01 34.000000
144.588959 -24.092079 0.01 40.000000
140.632538 -24.564611 0.01 40.000000
141.309647 -24.694952 0.00 48.000000
141.602890 -24.440016 0.01 43.000000
142.935364 -24.378332 0.01 37.000000
144.191727 -24.396736 0.01 43.400000
140.759781 -24.947529 0.01 50.000000
141.543381 -25.382793 0.01 39.400000
142.828934 -25.373650 0.01 39.000000
144.461838 -24.981621 0.01 54.000000
145.333160 -25.352463 0.01 50.600000
141.849091 -25.937788 0.01 35.400000
142.137741 -25.620668 0.01 48.000000
143.587036 -25.655478 0.01 44.300000
144.449829 -25.934990 0.24 45.100000
144.823395 -25.601498 0.01 39.500000
145.730438 -25.960299 0.00 55.200000
142.626144 -26.269999 0.01 39.900000
143.384949 -26.520254 0.01 39.000000
143.928452 -26.319017 0.01 36.900000
145.191940 -26.294252 0.01 53.000000
146.060272 -26.518923 0.01 50.000000
142.372391 -27.137482 0.00 36.800000
142.882523 -26.811228 0.00 36.500000
143.806442 -27.152515 0.01 37.000000
144.280899 -26.814425 0.01 38.200000
144.347260 -27.319929 0.01 42.600000
144.760376 -26.633505 0.01 38.600000
