# lon lat weight depth
133.036041 -19.473352 0.80 36.500000
133.006100 -20.003900 0.56 40.000000
132.997000 -20.486800 0.80 41.350000
132.991165 -20.997169 0.80 42.933000
132.989120 -21.506968 0.24 32.000000
133.494690 -18.994886 0.80 41.800000
133.505875 -19.505409 0.80 37.750000
133.501389 -20.002199 0.24 49.833000
133.490448 -20.495110 0.24 40.000000
133.498795 -20.987762 0.40 37.770000
134.002960 -18.499073 0.56 44.800000
134.051315 -19.509954 0.56 48.479000
133.997284 -19.987675 0.56 43.000000
134.020889 -20.563314 0.80 38.250000
133.995621 -20.999662 0.80 39.000000
134.016937 -21.492636 0.40 40.000000
134.518463 -17.993881 0.56 37.350000
134.451172 -18.506021 0.56 42.500000
134.498688 -19.522436 0.80 41.450000
134.599030 -20.538568 0.80 42.750000
134.500412 -21.002174 0.80 43.000000
134.504074 -21.500433 0.80 39.300000
135.017670 -17.570829 0.80 41.850000
134.991241 -17.975084 0.24 51.500000
135.011612 -19.003162 0.80 43.450000
135.001816 -19.502329 0.24 55.325000
135.059448 -20.102650 0.24 42.050000
135.003220 -20.500202 0.80 40.900000
135.002701 -20.998663 0.80 40.400000
135.007263 -21.508905 0.56 40.550000
135.512700 -17.506100 0.56 52.000000
135.493561 -17.983019 0.56 47.200000
135.499542 -18.503462 0.56 51.200000
135.457932 -19.008200 0.64 55.400000
135.501846 -19.499657 0.56 47.100000
135.420868 -20.101753 0.80 48.727000
135.485672 -20.497974 0.56 50.333000
135.495743 -21.002357 0.56 46.200000
135.502869 -21.493250 0.56 44.480000
135.995651 -17.510273 0.16 43.000000
136.000500 -17.990800 0.56 42.700000
135.972015 -19.004822 0.64 52.236000
135.998611 -19.501511 0.64 51.750000
136.005157 -20.016565 0.64 42.775000
136.001984 -20.501301 0.64 40.621000
135.968430 -21.001078 0.80 40.500000
136.012787 -21.522038 0.80 44.050000
136.510849 -17.504906 0.80 39.500000
136.493088 -17.993021 0.80 45.100000
136.501200 -19.499900 0.80 44.350000
136.540710 -19.954823 0.80 40.950000
136.490234 -20.500771 0.80 38.900000
136.493301 -21.054501 0.80 38.050000
136.484192 -21.472944 0.80 39.350000
136.998932 -17.510689 0.80 40.400000
137.006866 -18.006954 0.08 40.750000
136.991592 -19.000677 0.08 47.000000
137.000300 -19.500700 0.40 40.500000
136.989944 -19.998081 0.80 40.920000
136.992310 -21.502054 0.80 38.020000
137.503403 -17.494480 0.80 40.700000
137.498108 -19.010635 0.80 46.760000
137.498413 -19.501110 0.80 42.086000
137.504440 -19.993135 0.80 44.050000
137.508392 -21.501684 0.80 38.500000
137.987045 -17.523609 0.80 40.250000
137.992172 -18.005106 0.80 42.800000
137.937851 -18.637215 0.80 45.400000
137.994080 -19.502796 0.80 42.300000
137.994781 -19.995962 0.40 41.250000
137.987656 -20.491608 0.56 43.350000
137.994400 -20.996269 0.80 44.875000
137.995270 -21.495659 0.80 41.900000
138.488846 -18.008242 0.80 40.550000
138.517200 -18.503000 0.24 43.600000
138.499300 -19.000300 0.08 38.500000
138.499557 -19.499710 0.40 39.500000
138.496948 -19.999426 0.80 39.250000
138.495056 -20.499891 0.40 42.000000
138.510300 -20.984919 0.80 44.350000
138.490982 -21.508684 0.80 40.450000
138.995453 -19.501919 0.80 41.950000
139.001541 -19.999092 0.80 40.850000
138.996872 -20.506624 0.40 41.000000
138.979233 -21.020744 0.80 40.250000
139.500992 -18.995930 0.24 43.000000
139.501541 -19.500828 0.56 41.000000
139.500122 -20.001080 0.80 42.480000
139.500076 -21.000578 0.08 58.400000
139.498779 -21.500164 0.40 45.000000
140.000732 -17.998072 0.08 34.110000
139.994873 -19.009914 0.08 40.500000
140.493317 -17.996857 0.08 34.686000
140.513138 -18.504688 0.08 31.500000
140.497513 -18.995928 0.08 36.550000
