# lon lat weight depth
139.621500 -20.587400 0.56 45.000000
138.786700 -19.035000 0.80 39.700000
139.342700 -18.858500 0.80 41.600000
140.383700 -18.725900 0.80 39.100000
138.823200 -19.558500 0.80 40.500000
139.376200 -19.498500 0.80 42.200000
139.882500 -19.330100 0.24 39.400000
138.779400 -19.959000 0.80 37.100000
139.350500 -19.901400 0.80 42.800000
139.944000 -19.827800 0.80 47.800000
138.832300 -20.516200 0.80 41.500000
139.811300 -20.338500 0.08 38.800000
140.346800 -20.206400 0.08 34.600000
138.787600 -21.085700 0.40 40.000000
139.395400 -20.957300 0.80 46.800000
139.816900 -20.796200 0.40 40.000000
140.404700 -20.698200 0.40 49.000000
139.252700 -21.356000 0.56 43.100000
139.880900 -21.308800 0.24 54.400000
140.360500 -21.195800 0.80 39.600000
140.852500 -21.133600 0.80 40.800000
140.894900 -18.646200 0.56 41.800000
141.356400 -18.536700 0.56 43.100000
141.900000 -18.466900 0.56 37.300000
140.884200 -19.151300 0.24 38.700000
141.320600 -19.065600 0.08 34.300000
140.869200 -19.627000 0.56 39.400000
141.964600 -19.357200 0.80 33.900000
142.477300 -19.444900 0.80 34.200000
140.859000 -20.108200 0.24 40.000000
141.410800 -20.075400 0.08 40.000000
141.943300 -20.013600 0.64 34.100000
142.484800 -19.900400 0.40 45.000000
141.416700 -20.579500 0.08 40.000000
141.960700 -20.478200 0.56 38.000000
142.484600 -20.405600 0.80 35.900000
141.950000 -20.934300 0.08 41.000000
142.497200 -20.907700 0.56 36.400000
141.617900 -20.561900 0.64 40.600000
141.745100 -20.536900 0.24 42.000000
141.870700 -20.549000 0.32 38.000000
140.937200 -19.907900 0.40 38.400000
141.015100 -19.895500 0.08 41.000000
141.103900 -19.838200 0.08 40.000000
141.180000 -19.792100 0.08 36.500000
141.242800 -19.736400 0.08 37.600000
