# lon lat weight depth
129.118372 -19.508087 0.30 41.550000
129.107707 -19.992586 0.30 39.600000
129.099900 -20.496937 0.30 38.950000
129.101797 -21.000637 0.30 37.850000
129.201807 -21.999922 0.30 44.700000
129.202119 -22.499849 0.30 43.750000
129.121329 -22.995026 0.15 49.000000
129.101877 -23.499958 0.15 49.000000
129.102183 -24.000019 0.15 45.000000
129.102600 -24.500700 0.30 44.000000
129.510839 -19.996783 0.15 37.838000
129.508018 -20.487258 0.30 37.900000
129.499763 -21.000067 0.09 39.900000
129.500550 -21.498849 0.03 38.178000
129.492433 -21.993182 0.03 48.000000
129.480996 -22.498362 0.15 40.550000
129.500625 -23.000047 0.06 50.950000
129.500240 -23.499800 0.21 49.950000
129.500334 -24.000243 0.09 42.750000
129.500292 -24.499818 0.21 45.025000
130.008426 -20.005521 0.30 36.914000
130.016787 -20.492769 0.30 40.350000
130.000956 -21.000123 0.24 44.354000
129.961647 -22.000342 0.15 44.000000
129.986812 -22.500177 0.21 43.000000
130.000245 -23.499652 0.24 44.600000
130.000371 -24.500653 0.21 44.000000
130.502345 -19.507826 0.27 37.500000
130.498089 -20.001698 0.30 38.950000
130.498803 -20.999807 0.09 47.982000
130.517022 -22.482201 0.09 51.100000
130.499593 -22.999814 0.09 53.425000
130.500302 -23.499986 0.30 47.083000
130.497736 -24.500882 0.15 45.192000
130.996491 -20.001692 0.15 36.100000
131.003048 -20.497057 0.27 40.600000
131.025500 -21.501300 0.06 42.000000
130.977806 -22.006704 0.15 49.000000
130.994797 -22.486891 0.09 38.000000
131.023113 -22.990195 0.09 44.000000
130.999889 -23.535994 0.03 49.700000
131.000888 -24.499837 0.03 46.000000
131.498805 -19.498399 0.21 34.850000
131.503745 -19.999165 0.21 35.050000
131.499338 -20.495311 0.30 39.689000
131.499786 -21.000884 0.03 46.000000
131.471100 -21.488700 0.09 44.000000
131.502344 -21.990202 0.30 43.550000
131.498000 -22.506900 0.03 44.000000
131.465431 -22.993223 0.06 46.000000
131.468807 -24.036486 0.03 46.000000
131.501147 -24.500188 0.03 45.000000
132.000711 -19.499266 0.30 33.900000
131.999999 -19.998847 0.30 35.900000
131.985685 -20.504603 0.03 47.500000
132.000464 -20.999675 0.15 47.300000
131.993584 -22.001386 0.15 43.836000
131.997200 -22.499100 0.18 42.600000
131.999325 -23.499374 0.30 47.350000
132.000800 -24.000000 0.21 48.400000
132.000354 -24.500236 0.06 46.000000
132.494693 -19.503508 0.30 35.400000
132.498801 -20.000273 0.30 38.600000
132.500443 -20.496291 0.30 40.500000
132.499724 -21.000448 0.03 45.000000
132.501867 -21.500377 0.03 44.000000
132.508321 -21.995872 0.30 40.232000
132.493092 -22.485780 0.21 45.817000
132.491107 -23.490412 0.30 44.450000
132.499701 -23.940813 0.03 43.000000
132.499276 -24.500665 0.30 43.000000
132.997000 -20.486800 0.30 39.300000
132.991205 -20.997177 0.30 42.950000
132.925822 -21.991652 0.09 48.800000
132.999691 -22.489457 0.21 44.800000
132.984808 -22.998363 0.03 53.000000
132.991750 -23.476603 0.30 47.300000
132.969600 -24.032247 0.03 45.000000
133.505800 -19.505400 0.30 38.500000
133.501410 -20.002186 0.15 49.900000
133.490400 -20.495000 0.15 40.700000
133.498785 -20.987754 0.30 40.450000
133.467468 -21.512811 0.03 48.000000
133.490000 -21.992900 0.06 40.000000
133.495533 -22.496324 0.09 45.300000
133.507542 -23.492294 0.03 45.100000
133.558100 -23.970400 0.03 44.550000
133.498283 -24.495031 0.30 45.450000
134.016949 -21.492630 0.30 38.400000
134.003476 -22.003406 0.21 43.350000
134.001295 -22.491934 0.06 41.000000
133.994280 -23.000375 0.06 50.900000
133.989054 -23.498775 0.09 46.000000
134.008891 -24.009097 0.03 44.000000
133.998455 -24.500020 0.30 42.550000
134.504058 -21.500390 0.30 39.000000
134.500730 -21.999173 0.15 40.386000
134.462000 -22.494000 0.09 45.000000
134.520669 -23.007650 0.03 52.000000
134.563422 -23.987517 0.03 46.500000
134.495409 -24.496786 0.21 40.433000
135.007280 -21.508875 0.30 39.600000
134.999778 -21.971708 0.30 41.322000
134.999202 -22.499131 0.21 47.450000
134.983197 -22.983513 0.03 53.250000
134.932154 -23.480302 0.06 45.000000
135.001210 -24.502425 0.30 38.350000
